time,temperature,volte
2811,37.3626709,3.5
2811.5,37.36572266,3.5
2812,37.37487793,3.5
2812.5,37.37487793,3.5
2813,37.37182617,3.5
2813.5,37.36572266,3.5
2814,37.36572266,3.5
2814.5,37.37487793,3.5
2815,37.37487793,3.5
2815.5,37.36572266,3.5
2816,37.3626709,3.5
2816.5,37.35961914,3.5
2817,37.35961914,3.5
2817.5,37.35961914,3.5
2818,37.3626709,3.5
2818.5,37.35961914,3.5
2819,37.37182617,3.5
2819.5,37.37487793,3.5
2820,37.37487793,3.5
2820.5,37.37487793,3.5
2821,37.37487793,3.5
2821.5,37.37487793,3.5
2822,37.37182617,3.5
2822.5,37.37487793,3.5
2823,37.37182617,3.5
2823.5,37.42370605,3.5
2824,37.46032715,3.5
2824.5,37.46032715,3.5
2825,37.46643066,3.5
2825.5,37.46032715,3.5
2826,37.46032715,3.5
2826.5,37.46643066,3.5
2827,37.46948242,3.5
2827.5,37.4206543,3.5
2828,37.37792969,3.5
2828.5,37.37487793,3.5
2829,37.37182617,3.5
2829.5,37.3626709,3.5
2830,37.3626709,3.5
2830.5,37.35961914,3.5
2831,37.35961914,3.5
2831.5,37.3626709,3.5
2832,37.37182617,3.5
2832.5,37.37182617,3.5
2833,37.37182617,3.5
2833.5,37.29858398,3.5
2834,37.28027344,3.5
2834.5,37.27416992,3.5
2835,37.27416992,3.5
2835.5,37.45422363,3.5
2836,37.46032715,3.5
2836.5,37.46032715,3.5
2837,37.46032715,3.5
2837.5,37.46643066,3.5
2838,37.46948242,3.5
2838.5,37.47253418,3.5
2839,37.47558594,3.5
2839.5,37.47253418,3.5
2840,37.47253418,3.5
2840.5,37.47253418,3.5
2841,37.47253418,3.5
2841.5,37.46948242,3.5
2842,37.46643066,3.5
2842.5,37.46032715,3.5
2843,37.46032715,3.5
2843.5,37.46032715,3.5
2844,37.46643066,3.5
2844.5,37.46032715,3.5
2845,37.46032715,3.5
2845.5,37.46032715,3.5
2846,37.46948242,3.5
2846.5,37.46948242,3.5
2847,37.47253418,3.5
2847.5,37.47558594,3.5
2848,37.47253418,3.5
2848.5,37.47253418,3.5
2849,37.47253418,3.5
2849.5,37.52746582,3.5
2850,37.56713867,3.5
2850.5,37.56713867,3.5
2851,37.56408691,3.5
2851.5,37.56408691,3.5
2852,37.56713867,3.5
2852.5,37.57019043,3.5
2853,37.57629395,3.5
2853.5,37.56408691,3.5
2854,37.56408691,3.5
2854.5,37.56408691,3.5
2855,37.56713867,3.5
2855.5,37.57629395,3.5
2856,37.5793457,3.5
2856.5,37.5793457,3.5
2857,37.57629395,3.5
2857.5,37.5793457,3.5
2858,37.57019043,3.5
2858.5,37.5793457,3.5
2859,37.57629395,3.5
2859.5,37.49084473,3.5
2860,37.46948242,3.5
2860.5,37.46643066,3.5
2861,37.46032715,3.5
2861.5,37.46032715,3.5
2862,37.46643066,3.5
2862.5,37.46948242,3.5
2863,37.47253418,3.5
2863.5,37.47253418,3.5
2864,37.46643066,3.5
2864.5,37.46948242,3.5
2865,37.47253418,3.5
2865.5,37.47558594,3.5
2866,37.47253418,3.5
2866.5,37.47558594,3.5
2867,37.47558594,3.5
2867.5,37.54882813,3.5
2868,37.56408691,3.5
2868.5,37.56713867,3.5
2869,37.58850098,3.5
2869.5,37.6739502,3.5
2870,37.68005371,3.5
2870.5,37.67700195,3.5
2871,37.6739502,3.5
